排序,优先级,原候选编号,小分子药物名称,旧靶点名称,新靶点名称,新靶点的已知药物名称,新靶点实验参考化合物名称,结合排名_每药384靶点,当前实验建议,需先确认的事项,名称与实物核验说明
372,P3 先解决具体问题,C384-381,lenalidomide,CRL4(CRBN) E3 ubiquitin ligase,HDAC11 — Histone deacetylase 11,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,PANOBINOSTAT,20,先解决具体问题,去长链酰化功能与参考物确认后测纯母药。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
373,P4 降低投入／暂缓首批,C384-098,edoxaban,Coagulation factor X,F7 — Coagulation factor VII,COAGULATION FACTOR VII HUMAN; EPTACOG ALFA (ACTIVATED); EPTACOG BETA (ACTIVATED),CHEMBL3127491,2,有证据支持降低投入,查原始F7a选择性panel；若匹配条件已有高浓度阴性，避免重复SPR投入。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
374,P4 降低投入／暂缓首批,C384-225,fluvoxamine,Sodium-dependent serotonin transporter,MAOB — Amine oxidase [flavin-containing] B,RASAGILINE MESYLATE; RASAGILINE TARTRATE; SAFINAMIDE; SAFINAMIDE MESYLATE; SELEGILINE; SELEGILINE HYDROCHLORIDE,LAZABEMIDE,6,有证据支持降低投入,核对原拟合、物种和计划浓度；若测定义为弱活性复核。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
375,P4 降低投入／暂缓首批,C384-011,fenofibric acid,Peroxisome proliferator-activated receptor alpha,CYP19A1 — Aromatase,AMINOGLUTETHIMIDE; ANASTROZOLE; EXEMESTANE; LETROZOLE; TESTOLACTONE,ANASTROZOLE,9,有证据支持降低投入,先核实际药物结构与CYP19A1构建，若研究直接抑制则明确属于机制探索，不以治疗骨质疏松为理由放行。,完整InChIKey对应ChEMBL981酸实体；源标签为choline fenofibrate，采购形式必须核实。
376,P4 降低投入／暂缓首批,C384-148,avanafil,"cGMP-specific 3',5'-cyclic phosphodiesterase","PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",本地ChEMBL37未检出符合口径的药物；见另列参考化合物,CHEMBL5810180,15,有证据支持降低投入,先核验原始11种PDE面板的PDE9条件；仅在提出不同位点/非催化结合假设时再投入SPR。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
377,P4 降低投入／暂缓首批,C384-372,riluzole,Sodium channel alpha subunit,MAOB — Amine oxidase [flavin-containing] B,RASAGILINE MESYLATE; RASAGILINE TARTRATE; SAFINAMIDE; SAFINAMIDE MESYLATE; SELEGILINE; SELEGILINE HYDROCHLORIDE,LAZABEMIDE,15,有证据支持降低投入,核对TableS3母药MAOB浓度；保留时定义选择性复核。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
378,P4 降低投入／暂缓首批,C384-176,dexmethylphenidate,Sodium-dependent dopamine transporter; Sodium-dependent noradrenaline transporter,AKT3 — RAC-gamma serine/threonine-protein kinase,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,STAUROSPORINE,16,有证据支持降低投入,先核实疾病边类型与所需方向，使用dexmethylphenidate而非前药；无直接AKT3证据不优先。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
379,P4 降低投入／暂缓首批,C384-248,efavirenz,Human immunodeficiency virus type 1 reverse transcriptase,AR — Androgen receptor,ABIRATERONE; APALUTAMIDE; BICALUTAMIDE; CLASCOTERONE; DANAZOL; DAROLUTAMIDE; DROMOSTANOLONE PROPIONATE; ENZALUTAMIDE; ETHYLESTRENOL; FLUOXYMESTERONE; FLUTAMIDE; METHYLTESTOSTERONE; NANDROLONE DECANOATE; NANDROLONE PHENPROPIONATE; NILUTAMIDE; OXANDROLONE; OXYMETHOLONE; STANOZOLOL; TESTOSTERONE; TESTOSTERONE CYPIONATE; TESTOSTERONE ENANTHATE; TESTOSTERONE PROPIONATE; TESTOSTERONE UNDECANOATE,TESTOSTERONE,17,有证据支持降低投入,若保留定义AR机制研究，不能将表达变化或ER作用当AR结合。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
380,P4 降低投入／暂缓首批,C384-250,avanafil,"cGMP-specific 3',5'-cyclic phosphodiesterase","PDE4D — 3',5'-cyclic-AMP phosphodiesterase 4D",本地ChEMBL37未检出符合口径的药物；见另列参考化合物,ROLIPRAM,17,有证据支持降低投入,核对PDE4亚型构建和浓度范围后决定弱活动复核。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
381,P4 降低投入／暂缓首批,C384-065,metformin,"Glycerol-3-phosphate dehydrogenase, mitochondrial; Mitochondrial complex I (NADH dehydrogenase)",JAK2 — Tyrosine-protein kinase JAK2,BARICITINIB; DEURUXOLITINIB PHOSPHATE; FEDRATINIB; FEDRATINIB HYDROCHLORIDE; FILGOTINIB; FILGOTINIB MALEATE; MOMELOTINIB; MOMELOTINIB DIHYDROCHLORIDE MONOHYDRATE; PACRITINIB; PACRITINIB CITRATE; RUXOLITINIB PHOSPHATE; UPADACITINIB HEMIHYDRATE,RUXOLITINIB,18,有证据支持降低投入,将本对后置；先核MRC构建与本次是否一致，若只追直接抑制且条件相近，避免重复投入。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
382,P4 降低投入／暂缓首批,C384-378,deutetrabenazine,Synaptic vesicular amine transporter,COMT — Catechol O-methyltransferase,ENTACAPONE; OPICAPONE,CHEMBL5653589,18,有证据支持降低投入,若做仅定义COMT机制探索；母药/代谢体明确后再评原机制冲突。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
383,P4 降低投入／暂缓首批,C384-260,morphine,Mu-type opioid receptor,CA2 — Carbonic anhydrase 2,ACETAZOLAMIDE; ACETAZOLAMIDE SODIUM; BRINZOLAMIDE; DICHLORPHENAMIDE; DORZOLAMIDE HYDROCHLORIDE; METHAZOLAMIDE; TOPIRAMATE,DORZOLAMIDE,20,有证据支持降低投入,确认历史实验浓度，定义为弱活性复核或正交结合验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
384,P4 降低投入／暂缓首批,C384-380,duloxetine,Sodium-dependent noradrenaline transporter; Sodium-dependent serotonin transporter,ACHE — Acetylcholinesterase,AMBENONIUM CHLORIDE; BENZGALANTAMINE GLUCONATE; DEMECARIUM BROMIDE; DISTIGMINE; DONEPEZIL HYDROCHLORIDE; ECHOTHIOPHATE; ECHOTHIOPHATE IODIDE; EDROPHONIUM CHLORIDE; GALANTAMINE HYDROBROMIDE; HEXAFLUORENIUM BROMIDE; ISOFLUROPHATE; NEOSTIGMINE METHYLSULFATE; PHYSOSTIGMINE SALICYLATE; PRALIDOXIME CHLORIDE; PYRIDOSTIGMINE BROMIDE,HUPERZINE A,20,有证据支持降低投入,核对原人AChE浓度和端点，按AChE/BChE选择性复核定位。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
